rack_id,rack_col,zone_id,ac_unit,room_id,rho_load,alpha_age,epsilon_age,seed,source
room01_rack_it_000,room01_rack_it_000_kw,room01_cdz5,room01_cdz5,room01,0.10788511842472509,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_001,room01_rack_it_001_kw,room01_cdz5,room01_cdz5,room01,0.1496750510993891,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_002,room01_rack_it_002_kw,room01_cdz5,room01_cdz5,room01,0.08142094274563436,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_003,room01_rack_it_003_kw,room01_cdz5,room01_cdz5,room01,0.19339175790543944,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_004,room01_rack_it_004_kw,room01_cdz5,room01_cdz5,room01,0.07122240672719389,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_005,room01_rack_it_005_kw,room01_cdz5,room01_cdz5,room01,0.21263353920179157,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_006,room01_rack_it_006_kw,room01_cdz5,room01_cdz5,room01,0.2252401403555016,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_007,room01_rack_it_007_kw,room01_cdz5,room01_cdz5,room01,0.23513605576887336,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_008,room01_rack_it_008_kw,room01_cdz5,room01_cdz5,room01,0.07940419826416889,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_009,room01_rack_it_009_kw,room01_cdz5,room01_cdz5,room01,0.13782314023149037,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_010,room01_rack_it_010_kw,room01_cdz5,room01_cdz5,room01,0.17394376660197022,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_011,room01_rack_it_011_kw,room01_cdz5,room01_cdz5,room01,0.2402975162706278,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_012,room01_rack_it_012_kw,room01_cdz5,room01_cdz5,room01,0.17492588056655817,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_013,room01_rack_it_013_kw,room01_cdz5,room01_cdz5,room01,0.09321110278191552,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_014,room01_rack_it_014_kw,room01_cdz5,room01_cdz5,room01,0.09883751994075692,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_015,room01_rack_it_015_kw,room01_cdz5,room01_cdz5,room01,0.24184904190526973,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_016,room01_rack_it_016_kw,room01_cdz5,room01_cdz5,room01,0.061513447237102704,0.012413258544862492,0.012413258544862492,20260601,simulated
room01_rack_it_017,room01_rack_it_017_kw,room01_cdz6,room01_cdz6,room01,0.22686187711339822,0.020052317986015658,0.020052317986015658,20260601,simulated
room01_rack_it_018,room01_rack_it_018_kw,room01_cdz1,room01_cdz1,room01,0.14106576785637504,0.02929268781679816,0.02929268781679816,20260601,simulated
room01_rack_it_019,room01_rack_it_019_kw,room01_cdz1,room01_cdz1,room01,0.08994499619169959,0.02929268781679816,0.02929268781679816,20260601,simulated
room01_rack_it_020,room01_rack_it_020_kw,room01_cdz1,room01_cdz1,room01,0.22751813276464705,0.02929268781679816,0.02929268781679816,20260601,simulated
room01_rack_it_021,room01_rack_it_021_kw,room01_cdz1,room01_cdz1,room01,0.17747765640110746,0.02929268781679816,0.02929268781679816,20260601,simulated
room01_rack_it_022,room01_rack_it_022_kw,room01_cdz1,room01_cdz1,room01,0.09980531823131569,0.02929268781679816,0.02929268781679816,20260601,simulated
room01_rack_it_023,room01_rack_it_023_kw,room01_cdz1,room01_cdz1,room01,0.12886342561387815,0.02929268781679816,0.02929268781679816,20260601,simulated
room01_rack_it_024,room01_rack_it_024_kw,room01_cdz1,room01_cdz1,room01,0.21691842559509028,0.02929268781679816,0.02929268781679816,20260601,simulated
room01_rack_it_025,room01_rack_it_025_kw,room01_cdz2,room01_cdz2,room01,0.1468455695406099,0.025083877623148263,0.025083877623148263,20260601,simulated
room01_rack_it_026,room01_rack_it_026_kw,room01_cdz2,room01_cdz2,room01,0.2207306782746919,0.025083877623148263,0.025083877623148263,20260601,simulated
room01_rack_it_027,room01_rack_it_027_kw,room01_cdz2,room01_cdz2,room01,0.08644608866881809,0.025083877623148263,0.025083877623148263,20260601,simulated
room01_rack_it_028,room01_rack_it_028_kw,room01_cdz2,room01_cdz2,room01,0.13481706920578418,0.025083877623148263,0.025083877623148263,20260601,simulated
room01_rack_it_029,room01_rack_it_029_kw,room01_cdz3,room01_cdz3,room01,0.0742422612160994,0.02895149492672419,0.02895149492672419,20260601,simulated
room01_rack_it_030,room01_rack_it_030_kw,room01_cdz3,room01_cdz3,room01,0.1728921405687625,0.02895149492672419,0.02895149492672419,20260601,simulated
room01_rack_it_031,room01_rack_it_031_kw,room01_cdz3,room01_cdz3,room01,0.14419300910857147,0.02895149492672419,0.02895149492672419,20260601,simulated
