timestamp_hour_utc,ac_unit,supply_air_temp_c_mean,supply_air_temp_c_min,supply_air_temp_c_max,return_air_temp_c_mean,return_air_temp_c_min,return_air_temp_c_max,fan_speed_pct_mean,compressor_utilization_pct_mean,ac_delta_t_c_mean,cooling_strength_proxy_mean,samples_15min,expected_samples_15min,data_coverage,evidence
2022-07-01T00:00:00+00:00,cdz1,23.9658332,23.92333304,24,23.84666609,23.80888818,23.86111058,60,0,0,0,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T00:00:00+00:00,cdz2,22.55694466,22.5144445,22.58111142,24.44472201,24.41777746,24.48222215,60,0,1.88777735,1.13266641,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T00:00:00+00:00,cdz3,19.19499995,19.11333355,19.30222204,24.03111123,23.96999989,24.06777804,60,0,4.836111275,2.901666765,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T00:00:00+00:00,cdz4,19.05222221,18.96999984,19.17333374,25.73972238,25.7111117,25.77111079,60,33.01944444,6.687500164,4.012500099,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T00:00:00+00:00,cdz5,24.01611117,24,24.04666684,25.01361116,25,25.03444458,60,0,0.9974999905,0.5984999943,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T00:00:00+00:00,cdz6,23.80472148,23.79999924,23.8188882,24.69861176,24.67777846,24.72222265,60,0,0.8938902802,0.5363341681,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T01:00:00+00:00,cdz1,23.89999962,23.89999962,23.89999962,23.87333285,23.855555,23.8988885,60,0,0,0,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T01:00:00+00:00,cdz2,22.51222227,22.5,22.54555573,24.39638849,24.38222177,24.41444412,60,0,1.884166225,1.130499735,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T01:00:00+00:00,cdz3,19.3033331,19.20777757,19.42888862,24.04472239,24.02222231,24.08777811,60,0,4.74138929,2.844833574,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T01:00:00+00:00,cdz4,19.20416628,19.0933331,19.34222162,25.70861173,25.70000076,25.71666718,60,31.91388889,6.504445447,3.902667268,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T01:00:00+00:00,cdz5,24.01777785,24.00666669,24.04666684,25.01722229,25.00666669,25.02777788,60,0,0.9994444423,0.5996666654,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T01:00:00+00:00,cdz6,23.79861037,23.79444377,23.79999924,24.69527844,24.68333403,24.71333389,60,0,0.8966680739,0.5380008443,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T02:00:00+00:00,cdz1,23.8766662,23.84444385,23.89999962,23.89333293,23.87555508,23.91888858,60,0,0.02277786467,0.0136667188,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T02:00:00+00:00,cdz2,22.50361112,22.5,22.51111115,24.42555527,24.40777743,24.43666643,60,0,1.921944147,1.153166488,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T02:00:00+00:00,cdz3,19.31972189,19.24666636,19.39666629,24.04444461,24.01000004,24.07777807,60,0,4.724722719,2.834833632,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T02:00:00+00:00,cdz4,19.20222189,19.09999985,19.30888822,25.70527846,25.70000076,25.7122228,60,31.77777778,6.503056569,3.901833941,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T02:00:00+00:00,cdz5,24,24,24,24.98694439,24.96444431,25,60,0,0.9869443946,0.5921666368,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T02:00:00+00:00,cdz6,23.79999924,23.79999924,23.79999924,24.65805616,24.62111157,24.70000076,60,0,0.8580569214,0.5148341529,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T03:00:00+00:00,cdz1,23.81861042,23.79999924,23.855555,23.90499964,23.86333281,23.93222196,60,0,0.08638921844,0.05183353106,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T03:00:00+00:00,cdz2,22.49416664,22.48888885,22.49888888,24.40111073,24.34999943,24.45888873,60,0,1.906944089,1.144166454,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T03:00:00+00:00,cdz3,19.27222189,19.22333298,19.38888851,24.06333357,24.02333342,24.08888923,60,0,4.791111681,2.874667009,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T03:00:00+00:00,cdz4,19.12388914,19.09111156,19.20111158,25.71166725,25.70000076,25.73666687,60,32.06944444,6.587778113,3.952666868,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T03:00:00+00:00,cdz5,23.99305553,23.97222212,24,24.96805543,24.92111081,24.99111108,60,0,0.9749999046,0.5849999428,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T03:00:00+00:00,cdz6,23.74722226,23.70000076,23.79999924,24.62666715,24.59666704,24.6588895,60,0,0.8794448853,0.5276669312,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T04:00:00+00:00,cdz1,23.80249925,23.79999924,23.80999928,23.90444408,23.89333293,23.91555523,60,0,0.1019448333,0.0611669,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
2022-07-01T04:00:00+00:00,cdz2,22.44499979,22.39999962,22.47999992,24.40777743,24.39999962,24.41999969,60,0,1.962777636,1.177666581,4,4,1,"Hourly aggregation from Vertiv AC-unit 15-min table; Supply/return air temperatures are AC-unit-level, not rack inlet temperature."
