rack_id,zone,row,col,source_dataset,node_count,hotspot_risk,evidence,ac_unit,ac_mapping_source,ac_mapping_status,ac_mapping_evidence
rack_it_000,room_y_2,2,21,m100_raw,16,0.011575562700964631,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_001,room_y_2,2,20,m100_raw,17,0.21796142967495596,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_002,room_y_2,2,19,m100_raw,17,0.23655326483200212,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_003,room_y_2,2,18,m100_raw,17,0.30164261497362377,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_004,room_y_2,2,17,m100_raw,16,0.3523937721604044,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_005,room_y_2,2,16,m100_raw,11,0.38576443045814895,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_006,room_y_2,2,15,m100_raw,15,0.37195110698720224,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_007,room_y_2,2,14,m100_raw,15,0.38092068872839846,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_008,room_y_2,2,13,m100_raw,19,0.37657752327645333,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
rack_it_009,room_y_2,2,12,m100_raw,19,0.49903441932729176,rack mapping: M100 measured rack/location; cap proxies from rack p99 load; hotspot: M100 IPMI ambient/inlet-candidate temperature exceedance + load volatility,cdz5,external_user_provided_image,external_mapping,External AC-unit to rack grouping image provided by user; cdz5+cdz6 split applied with rack 17 assigned to cdz6 and racks 0-16 to cdz5.
